2023-10-09 22:20:56,427  =================== rf_bert01 start training ===================
2023-10-09 22:27:53,223  gridsearching...
2023-10-09 23:46:38,500  0.691 (+/-0.027) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-09 23:46:38,500  0.694 (+/-0.033) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-09 23:46:38,500  0.668 (+/-0.018) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-09 23:46:38,500  0.686 (+/-0.032) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-09 23:46:38,501  0.691 (+/-0.026) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-09 23:46:38,501  0.672 (+/-0.031) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-09 23:46:38,501  0.685 (+/-0.031) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-09 23:46:38,501  0.690 (+/-0.020) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-09 23:46:38,501  0.667 (+/-0.024) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-09 23:46:38,501  0.692 (+/-0.026) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-09 23:46:38,501  0.687 (+/-0.027) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-09 23:46:38,501  0.669 (+/-0.028) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-09 23:46:38,501  0.691 (+/-0.023) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-09 23:46:38,501  0.688 (+/-0.020) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-09 23:46:38,501  0.655 (+/-0.031) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-09 23:46:38,501  0.672 (+/-0.025) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-09 23:46:38,501  0.679 (+/-0.021) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-09 23:46:38,501  0.653 (+/-0.024) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-09 23:46:38,501  0.674 (+/-0.027) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-09 23:46:38,501  0.680 (+/-0.031) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-09 23:46:38,501  0.658 (+/-0.029) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-09 23:46:38,501  0.681 (+/-0.031) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-09 23:46:38,502  0.685 (+/-0.033) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-09 23:46:38,502  0.655 (+/-0.033) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-09 23:46:38,502  0.676 (+/-0.026) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-09 23:46:38,502  0.684 (+/-0.021) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-09 23:46:38,502  0.665 (+/-0.014) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-09 23:46:38,502  0.679 (+/-0.027) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-09 23:46:38,502  0.678 (+/-0.030) for {'max_depth': 24, 'min_samples_leaf': 22, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-09 23:46:38,502  0.673 (+/-0.022) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-09 23:46:38,502  0.704 (+/-0.031) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-09 23:46:38,502  0.722 (+/-0.032) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-09 23:46:38,502  0.678 (+/-0.026) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-09 23:46:38,502  0.707 (+/-0.026) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-09 23:46:38,502  0.715 (+/-0.028) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-09 23:46:38,502  0.679 (+/-0.028) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-09 23:46:38,502  0.699 (+/-0.016) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-09 23:46:38,502  0.714 (+/-0.027) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-09 23:46:38,502  0.688 (+/-0.028) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-09 23:46:38,502  0.703 (+/-0.028) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-09 23:46:38,502  0.713 (+/-0.032) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-09 23:46:38,502  0.681 (+/-0.042) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-09 23:46:38,503  0.701 (+/-0.035) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-09 23:46:38,503  0.706 (+/-0.032) for {'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-09 23:46:38,503  0.679 (+/-0.023) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-09 23:46:38,503  0.704 (+/-0.031) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-09 23:46:38,503  0.720 (+/-0.035) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-09 23:46:38,503  0.678 (+/-0.028) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-09 23:46:38,503  0.711 (+/-0.028) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-09 23:46:38,503  0.714 (+/-0.030) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-09 23:46:38,503  0.688 (+/-0.030) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-09 23:46:38,503  0.712 (+/-0.034) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-09 23:46:38,503  0.719 (+/-0.026) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-09 23:46:38,503  0.681 (+/-0.022) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-09 23:46:38,503  0.705 (+/-0.027) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-09 23:46:38,503  0.713 (+/-0.032) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-09 23:46:38,503  0.675 (+/-0.038) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-09 23:46:38,503  0.703 (+/-0.031) for {'max_depth': 30, 'min_samples_leaf': 3, 'min_samples_split': 24, 'n_estimators': 100}
